state_ut,year,fraud_type,cases_registered,cases_chargesheeted,cases_convicted,persons_arrested,amount_saved_inr,complaints_count
Karnataka,2021,Online Banking Fraud,91,55,5.0,97,4895184.34,108
Rajasthan,2022,UPI Fraud,232,91,7.0,168,1286174.47,343
Madhya Pradesh,2023,UPI Fraud,398,147,12.0,125,3474913.44,501
Chhattisgarh,2022,OTP Fraud,37,13,1.0,17,463908.8,59
Telangana,2024,Other,127,68,6.0,60,1412782.46,217
Assam,2022,Online Banking Fraud,29,18,1.0,28,1188886.93,52
Maharashtra,2024,Card Fraud,205,110,12.0,120,6140997.2,304
Karnataka,2024,Card Fraud,175,99,10.0,154,3362449.23,307
Puducherry,2024,Other,7,4,0.0,5,176348.53,11
Tripura,2024,UPI Fraud,35,19,1.0,32,409712.84,56
Arunachal Pradesh,2024,Identity Theft,4,2,0.0,2,172033.54,5
Madhya Pradesh,2022,OTP Fraud,126,56,5.0,102,1736566.12,201
Tamil Nadu,2022,Card Fraud,97,56,6.0,77,2642813.04,155
Rajasthan,2019,Other,17,9,1.0,16,318116.04,29
Delhi,2021,UPI Fraud,141,55,4.0,54,773388.59,226
Sikkim,2021,Online Banking Fraud,3,2,0.0,2,165956.82,4
Karnataka,2020,Other,29,12,1.0,21,555267.99,39
Odisha,2021,Identity Theft,17,9,2.0,14,1025791.5,23
Punjab,2024,UPI Fraud,312,141,9.0,219,1918746.86,512
Tripura,2023,Other,5,3,0.0,4,114165.59,7
Nagaland,2019,OTP Fraud,1,0,0.0,0,13384.18,2
Kerala,2019,Online Banking Fraud,39,24,2.0,24,2894325.19,64
Delhi,2021,Identity Theft,51,24,3.0,36,3610896.02,67
Sikkim,2021,UPI Fraud,3,2,0.0,3,34972.38,4
Chhattisgarh,2021,Other,6,4,0.0,4,130293.02,7
Mizoram,2024,Online Banking Fraud,5,3,0.0,3,300577.65,7
Mizoram,2023,Card Fraud,5,3,0.0,4,134253.1,7
Madhya Pradesh,2021,UPI Fraud,87,49,2.0,42,813623.19,145
Kerala,2024,Identity Theft,71,53,4.0,52,6345493.23,85
Kerala,2023,OTP Fraud,144,57,5.0,87,2324257.71,233
Nagaland,2022,Card Fraud,4,2,0.0,2,94491.38,6
Uttarakhand,2022,Identity Theft,17,11,1.0,13,760331.42,30
Goa,2019,OTP Fraud,10,5,1.0,8,193134.72,17
West Bengal,2020,Card Fraud,41,25,3.0,32,627393.99,71
Manipur,2019,Other,1,0,0.0,0,11825.92,1
Jharkhand,2022,Online Banking Fraud,26,16,1.0,17,1856426.3,36
Madhya Pradesh,2023,OTP Fraud,187,64,6.0,120,2047877.49,301
Nagaland,2019,Online Banking Fraud,1,1,0.0,1,38759.17,1
Haryana,2020,Identity Theft,30,13,2.0,17,1929723.3,43
Mizoram,2024,Other,4,2,0.0,2,92937.13,6
Arunachal Pradesh,2021,UPI Fraud,4,2,0.0,3,29298.23,6
Assam,2022,Other,12,6,0.0,6,143000.93,15
